Mar 25 12:11:24 | El Sazon Mexicano | Tortilla espanola | $268
Mar 25 12:45:18 | The Savory | Pollo al Curry | $277
Mar 25 13:01:20 | La Trattoria Bella | ensalada Caprese | $131
Mar 25 13:17:34 | El Cafe del Jardin | Huevos Benedictinos | $270
Mar 25 13:33:03 | The Gourmet Deli | Sopa de Verduras | $135
Mar 25 13:52:48 | The Caffeine Spot | Sopa de Verduras | $126
Mar 25 14:18:00 | El Barzon | Pollo a la Brasa | $281
Mar 25 14:35:56 | The Urban Bistro | Goulash Hungaro | $427
Mar 25 14:36:17 | Sunset Grill | Beef Wellington | $422
Mar 25 14:37:38 | El dragon | Tacos de Cochinita | $265
Mar 25 14:42:18 | Brunch & Mimosas | Tacos de Camaron | $284
Mar 25 15:28:28 | El Asador de la Abuela | Curry de Pollo | $264
Mar 25 15:35:43 | Here and Now | Pollo con espinacas | $284
Mar 25 15:57:16 | The other place | Pescado empapelado | $264
Mar 25 16:05:56 | El Jardin de los Sabores | ensalada Niþoise | $263
Mar 25 16:09:06 | La Furia | Ceviche de Pulpo | $281
Mar 25 16:11:06 | The Local Bistro | Pulpo a la Gallega | $419
Mar 25 16:15:30 | La Cocina de Alicia | Beef Stroganoff | $436
Mar 25 16:42:41 | The Not Italian Bistro | Pozole Blanco | $159
Mar 25 16:56:29 | The Food Haven | Huevos Benedictinos | $262
Mar 25 17:02:59 | El Cafe de la Plaza | Beef Stroganoff | $404
Mar 25 17:09:32 | The Rustic | Ceviche Mixto | $308
Mar 25 17:19:05 | La Internacional | Tarta de Manzana | $138
Mar 25 17:34:11 | The Farm-to-Table | Pollo Tikka Masala | $301
Mar 25 17:58:48 | The Chic Restaurant | Ravioles de Ricotta | $282
Mar 25 18:10:33 | The Urban Table | Gnocchi al Pesto | $307
Mar 25 18:13:31 | The Classic Diner | Cochinita Pibil | $258
Mar 25 18:18:05 | The Rustic Spoon | Cochinita Pibil | $282
Mar 25 18:18:12 | The Waterfront | Falafel con Hummus | $303
Mar 25 18:37:12 | The Gourmet Deli | Chuletas de Cordero | $406
Mar 25 18:37:44 | The eatery | Pho Bo | $271
Mar 25 18:52:24 | El Jardin de los Sabores | Sopa de Tortilla | $135
Mar 25 19:01:46 | The Trendy eatery | empanadas Argentinas | $287
Mar 25 19:29:15 | The Park | Spaghetti Carbonara | $288
Mar 25 19:38:15 | La esquina del Taco | Ravioles de Ricotta | $254
Mar 25 19:44:05 | The Cafe Lounge | Tarta de Santiago | $136
Mar 25 19:51:12 | Los Sabores de Aqui | Fideua | $266
Mar 25 19:54:48 | The Classic | Pasta a la Puttanesca | $304
Mar 25 20:18:42 | El Rincon del Chef | Pizza Margherita | $291
Mar 25 20:39:59 | The Farmhouse Cafe | Pollo Tikka Masala | $294
Mar 25 21:06:24 | El Patio Andaluz | Pollo al Ajillo | $283
Mar 25 21:48:07 | The American | empanadas Argentinas | $266
Mar 25 22:04:20 | The Not Italian Bistro | Filete de Res | $474
Mar 25 22:25:51 | La esquina del Taco | Sopa de Pollo | $128
Mar 25 23:50:13 | El Restaurante de Ana | Curry de Garbanzos | $274
Mar 26 12:13:45 | El Asador de la Abuela | Tarta de Manzana | $130
Mar 26 12:15:16 | El Cafe de la Plaza | Chop Suey | $270
